Longitud de onda (nm),Intensidad
241.62769576523888,1812.45234375
241.89119318267387,1824.74015625
242.15467654992779,1834.98
242.41814586429297,2076.6403125
242.68160112306208,1843.171875
242.9450423235276,1873.89140625
243.208469462982,1783.78078125
243.4718825387179,1904.6109375
243.73528154802773,1816.54828125
243.998666488204,1736.6775
244.26203735653928,1984.48171875
244.52539415032606,1787.87671875
244.78873686685688,1648.61484375
245.05206550342422,1849.31578125
245.3153800573206,1884.13125
245.57868052583856,1802.2125
245.8419669062706,1771.49296875
246.1052391959093,1832.93203125
246.36849739204712,1880.0353125
246.63174149197656,1826.788125
246.89497149299018,1853.41171875
247.15818739238048,1767.39703125
247.42138918743998,1767.39703125
247.68457687546118,1785.82875
247.94775045373663,1841.12390625
248.21090991955884,1841.12390625
248.4740552702203,1859.555625
248.73718650301356,1783.78078125
249.00030361523113,1914.85078125
249.26340660416548,1861.60359375
249.5264954671092,1746.91734375
249.7895702013548,1929.1865625
250.0526308041947,1722.34171875
250.31567727292156,1888.2271875
250.5787096048278,1822.6921875
250.84172779720598,1951.71421875
251.1047318473486,1814.5003125
251.36772175254816,1697.76609375
251.63069751009724,1920.9946875
251.89365911728828,1771.49296875
252.15660657141387,1849.31578125
252.41953986976648,1843.171875
252.68245900963862,1972.19390625
252.94536398832287,1742.82140625
253.20825480311166,1785.82875
253.4711314512976,1968.09796875
253.73399393017306,1708.0059375
253.99684223703076,1818.59625
254.25967636916306,1933.2825
254.52249632386258,1757.1571875
254.78530209842177,1855.4596875
255.04809369013316,1851.36375
255.31087109628928,1849.31578125
255.57363431418267,1794.020625
255.8363833411058,1859.555625
256.0991181743512,1710.05390625
256.3618388112114,1746.91734375
256.6245452489789,1726.43765625
256.8872374849463,1918.94671875
257.149915516406,1837.02796875
257.4125793406505,1808.35640625
257.67522895497245,1861.60359375
257.93786435666436,1757.1571875
258.2004855430186,1834.98
258.46309251132783,1720.29375
258.7256852588844,1703.91
258.98826378298105,1882.08328125
259.25082808091014,1804.26046875
259.51337814996435,1699.8140625
259.7759139874359,1820.64421875
260.03843559061767,1910.75484375
260.30094295680186,1779.68484375
260.56343608328126,1781.7328125
260.8259149673481,1765.3490625
261.08837960629523,1894.37109375
261.35082999741485,1828.83609375
261.61326613799963,1871.8434375
261.87568802534213,1949.66625
262.1380956567348,1906.65890625
262.4004890294702,1730.53359375
262.66286814084077,1849.31578125
262.9252329881391,1828.83609375
263.18758356865766,1781.7328125
263.449919879689,1753.06125
263.71224191852565,1884.13125
263.97454968246007,2043.8728125
264.23684316878484,1771.49296875
264.4991223747924,1796.06859375
264.7613872977754,1910.75484375
265.0236379350262,1744.869375
265.2858742838375,1884.13125
265.5480963415016,1802.2125
265.81030410531116,1669.09453125
266.0724975725587,1933.2825
266.3346767405367,1808.35640625
266.5968416065376,1826.788125
266.8589921678541,1785.82875
267.12112842177856,1714.14984375
267.3832503656036,1785.82875
267.6453579966217,1886.17921875
267.90745131212526,1757.1571875
268.16953030940704,1855.4596875
268.4315949857593,1814.5003125
268.6936453384748,1777.636875
268.9556813648459,1853.41171875
269.2177030621651,1761.253125
269.479710427725,1816.54828125
269.7417034588181,1630.183125
270.003682152737,1855.4596875
270.26564650677403,1785.82875
270.5275965182218,1841.12390625
270.7895321843729,1828.83609375
271.05145350251973,1824.74015625
271.3133604699549,1824.74015625
271.57525308397084,1736.6775
271.83713134186013,1703.91
272.09899524091526,1791.97265625
272.3608447784288,1910.75484375
272.6226799516932,2000.86546875
272.88450075800097,1828.83609375
273.1463071946447,1994.7215625
273.4080992589169,1882.08328125
273.66987694810996,1816.54828125
273.9316402595166,1759.20515625
274.1933891904292,1927.13859375
274.45512373814023,1843.171875
274.7168438999424,1763.30109375
274.97854967312804,1810.404375
275.2402410549898,1689.57421875
275.50191804282,1988.57765625
275.7635806339115,1882.08328125
276.02522882555644,1837.02796875
276.28686261504765,1916.89875
276.5484819996774,1843.171875
276.8100869767384,1830.8840625
277.071677543523,1906.65890625
277.33325369732387,1810.404375
277.5948154354334,1757.1571875
277.85636275514423,1892.323125
278.1178956537488,1832.93203125
278.3794141285397,1834.98
278.6409181768093,1906.65890625
278.9024077958502,1830.8840625
279.163882982955,1724.3896875
